,account_id,is_employee,last_modified_date,last_access_date,reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,reputation,creation_date,user_type,user_id,accept_rate,location,website_url,link,profile_image,display_name,badge_counts.bronze,badge_counts.silver,badge_counts.gold
0,11683,False,1658935815,1659036109,41201,5328,5328,1068,10,1346289,1222430705,registered,22656,86.0,"Reading, United Kingdom",http://csharpindepth.com,https://stackoverflow.com/users/22656/jon-skeet,https://www.gravatar.com/avatar/6d8ebb117e8d83d74ea95fbdd0f87e13?s=256&d=identicon&r=PG,Jon Skeet,9071,8953,828
1,1165580,False,1658744100,1658878132,23520,3174,3174,660,0,1204549,1326311637,registered,1144035,,"New York, United States",http://www.data-miners.com,https://stackoverflow.com/users/1144035/gordon-linoff,https://www.gravatar.com/avatar/e514b017977ebf742a418cac697d8996?s=256&d=identicon&r=PG,Gordon Linoff,720,579,53
2,4243,False,1659012606,1659069136,49363,7157,7157,1235,50,1143368,1221344553,registered,6309,100.0,France,https://devstory.fyi/vonc,https://stackoverflow.com/users/6309/vonc,https://i.stack.imgur.com/I4fiW.jpg?s=256&g=1,VonC,4822,4086,486
3,52822,False,1658241306,1659010093,25117,3242,3242,720,10,1047140,1250527322,registered,157882,93.0,"Willemstad, Cura&#231;ao",https://balusc.omnifaces.org,https://stackoverflow.com/users/157882/balusc,https://www.gravatar.com/avatar/89927e2f4bde24991649b353a37678b9?s=256&d=identicon&r=PG,BalusC,3516,3559,363
4,14332,False,1658081100,1659013222,17262,2084,2084,388,0,999039,1224432467,registered,29407,86.0,"Sofia, Bulgaria",http://stackoverflow.com/search?q=user%3a29407&tab=newest,https://stackoverflow.com/users/29407/darin-dimitrov,https://www.gravatar.com/avatar/e3a181e9cdd4757a8b416d93878770c5?s=256&d=identicon&r=PG,Darin Dimitrov,2909,3247,266
5,11975,False,1658326800,1659043765,24612,3167,3167,616,10,982925,1222667162,registered,23354,100.0,"Forest of Dean, United Kingdom",http://blog.marcgravell.com,https://stackoverflow.com/users/23354/marc-gravell,https://i.stack.imgur.com/CrVFH.png?s=256&g=1,Marc Gravell,2841,2488,255
6,35417,False,1659013200,1658683329,40908,5499,5499,1005,30,973878,1241362437,moderator,100297,,"Cambridge, UK",http://www.zopatista.com/,https://stackoverflow.com/users/100297/martijn-pieters,https://www.gravatar.com/avatar/24780fb6df85a943c7aea0402c843737?s=256&d=identicon&r=PG,Martijn Pieters,3205,3840,270
7,52616,False,1659004505,1659032131,44147,5616,5616,1012,50,969931,1250420422,registered,157247,91.0,United Kingdom,https://thenewtoys.dev,https://stackoverflow.com/users/157247/t-j-crowder,https://i.stack.imgur.com/lUM5Z.jpg?s=256&g=1,T.J. Crowder,1787,1803,178
8,39846,False,1658964900,1659052194,20879,2610,2610,423,20,959466,1243786808,registered,115145,84.0,"Pennsylvania, United States",https://commonsware.com,https://stackoverflow.com/users/115145/commonsware,https://i.stack.imgur.com/wDnd8.png?s=256&g=1,CommonsWare,2381,2322,186
9,9266,False,1658839805,1659066576,12556,1681,1681,366,10,901130,1221698729,registered,17034,,"Madison, WI",,https://stackoverflow.com/users/17034/hans-passant,https://i.stack.imgur.com/Cii6b.png?s=256&g=1,Hans Passant,2468,1644,140
10,680,False,1657999800,1659058692,33563,4376,4376,968,30,899312,1218356820,registered,893,84.0,"Christchurch, New Zealand",http://hewgill.com,https://stackoverflow.com/users/893/greg-hewgill,https://www.gravatar.com/avatar/747ffa5da3538e66840ebc0548b8fd58?s=256&d=identicon&r=PG,Greg Hewgill,1264,1128,177
11,10162,False,1659027902,1659050063,32215,4509,4509,1010,40,866058,1221842906,registered,19068,,United Kingdom,,https://stackoverflow.com/users/19068/quentin,https://www.gravatar.com/avatar/1d2d3229ed1961d2bd81853242493247?s=256&d=identicon&r=PG,Quentin,1271,1162,121
12,15988,False,1658841000,1644608022,18492,2210,2210,406,10,841978,1225829805,registered,34397,87.0,New Jersey,https://SLaks.net,https://stackoverflow.com/users/34397/slaks,https://www.gravatar.com/avatar/7deca8ec973c3c0875e9a36e1e3e2c44?s=256&d=identicon&r=PG,SLaks,1937,1870,174
13,8291,False,1658531704,1659069324,21908,2605,2605,560,10,820380,1221622605,registered,14860,100.0,,,https://stackoverflow.com/users/14860/paxdiablo,https://i.stack.imgur.com/vXG1F.png?s=256&g=1,paxdiablo,1908,1541,227
14,34048,False,1658154600,1659042885,25216,3241,3241,718,30,817334,1240625354,registered,95810,80.0,"Sunnyvale, CA",http://www.aleax.it,https://stackoverflow.com/users/95810/alex-martelli,https://www.gravatar.com/avatar/e8d5fe90f1fe2148bf130cccd4dc311c?s=256&d=identicon&r=PG,Alex Martelli,1375,1200,163
15,4601727,False,1658977800,1659042786,55331,6581,6581,1535,20,802377,1402536093,registered,3732271,,,http://linkedin.com/in/akrun1,https://stackoverflow.com/users/3732271/akrun,https://www.gravatar.com/avatar/ee6e12042dc31b1ef27471482f9ff91f?s=256&d=identicon&r=PG&f=1,akrun,590,474,32
16,64585,False,1659000903,1658952248,35610,4712,4712,890,30,786597,1255610900,registered,190597,88.0,,,https://stackoverflow.com/users/190597/unutbu,https://www.gravatar.com/avatar/aabc98d5c6482ca0e1405ec97710f30a?s=256&d=identicon&r=PG&f=1,unutbu,1616,1710,168
17,3748,False,1658918102,1658963486,23561,3092,3092,560,30,775353,1220976258,registered,5445,,Guatemala,http://codingspot.com,https://stackoverflow.com/users/5445/christian-c-salvad%c3%b3,https://www.gravatar.com/avatar/932fb89b9d4049cec5cba357bf0ae388?s=256&d=identicon&r=PG,Christian C. Salvad&#243;,832,910,179
18,24377,False,1658841000,1658805360,25245,3200,3200,508,0,773884,1233672960,registered,61974,,Denmark,http://careers.stackoverflow.com/markbyers/,https://stackoverflow.com/users/61974/mark-byers,https://www.gravatar.com/avatar/ad240ed5cc406759f0fd72591dc8ca47?s=256&d=identicon&r=PG,Mark Byers,1438,1547,181
19,76141,False,1656338100,1659018737,25309,3117,3117,536,10,762669,1259104089,registered,218196,100.0,Germany,http://felix-kling.de,https://stackoverflow.com/users/218196/felix-kling,https://i.stack.imgur.com/4P5DY.jpg?s=256&g=1,Felix Kling,1113,1065,170
20,10930,False,1658489103,1546328601,20729,2532,2532,438,0,745296,1222135580,registered,20862,50.0,,,https://stackoverflow.com/users/20862/ignacio-vazquez-abrams,https://www.gravatar.com/avatar/2343ae368d3241278581ce6c87f62a25?s=256&d=identicon&r=PG,Ignacio Vazquez-Abrams,1332,1304,148
21,3465245,False,1659004800,1659015589,53986,5876,5876,774,0,742384,1382300846,registered,2901002,97.0,"Bratislava, Slovakia",,https://stackoverflow.com/users/2901002/jezrael,https://i.stack.imgur.com/hMDvl.jpg?s=256&g=1,jezrael,1117,1176,81
22,262968,False,1658768700,1659064473,24794,4068,4068,850,20,720704,1292821840,registered,548225,90.0,"Bangalore, India",http://anubhava.wordpress.com,https://stackoverflow.com/users/548225/anubhava,https://www.gravatar.com/avatar/dab08478b226280d4a30894c9a7ed719?s=256&d=identicon&r=PG,anubhava,602,521,61
23,7633,False,1658987705,1659068952,14964,2083,2083,315,0,708834,1221588555,registered,13302,99.0,"Bern, Switzerland",,https://stackoverflow.com/users/13302/marc-s,https://www.gravatar.com/avatar/b4779212f57ff2e9549ea90a4499c2d7?s=256&d=identicon&r=PG,marc_s,1428,1307,169
24,11948,False,1658841000,1657902505,16420,1924,1924,378,0,707811,1222642783,registered,23283,100.0,"Redmond, WA",http://blog.paranoidcoding.com/,https://stackoverflow.com/users/23283/jaredpar,https://www.gravatar.com/avatar/529ba429a58902bef56c2fcb672d5ccb?s=256&d=identicon&r=PG,JaredPar,1439,1214,146
25,10375,False,1658841000,1656491261,28535,3620,3620,750,10,707643,1221903545,registered,19563,,United Kingdom,,https://stackoverflow.com/users/19563/cb-bailey,https://www.gravatar.com/avatar/a8db27c91db97757a829c7971fd62b84?s=256&d=identicon&r=PG,CB Bailey,648,621,99
26,8423,False,1658841000,1659069408,17651,2241,2241,384,10,702427,1221633947,registered,15168,100.0,"Colorado, USA",https://stackoverflow.com/users/15168,https://stackoverflow.com/users/15168/jonathan-leffler,https://i.stack.imgur.com/WtEI9.png?s=256&g=1,Jonathan Leffler,1233,866,133
27,134022,False,1658327100,1659063807,10689,1460,1460,350,0,699685,1273269250,registered,335858,81.0,United States,http://stackoverflow.com/users/335858/dasblinkenlight,https://stackoverflow.com/users/335858/sergey-kalinichenko,https://www.gravatar.com/avatar/4af3541c00d591e9a518b9c0b3b1190a?s=256&d=identicon&r=PG,Sergey Kalinichenko,1472,1062,79
28,1613587,False,1659050103,1659053085,40436,6545,6545,1618,48,681918,1340993549,registered,1491895,69.0,"Arlington, MA",,https://stackoverflow.com/users/1491895/barmar,https://www.gravatar.com/avatar/82f9e178a16364bf561d0ed4da09a35d?s=256&d=identicon&r=PG,Barmar,569,463,52
29,47283,False,1659033903,1659058032,17425,2257,2257,471,0,673827,1247815702,registered,139985,69.0,Australia,,https://stackoverflow.com/users/139985/stephen-c,https://www.gravatar.com/avatar/147c5a9cc1feec049c50da791ac7d144?s=256&d=identicon&r=PG,Stephen C,1170,776,92
30,26521,False,1657811400,1658994253,13122,1732,1732,260,0,669493,1235161492,registered,69083,,"Virsbo, Sweden",http://www.guffa.com,https://stackoverflow.com/users/69083/guffa,https://www.gravatar.com/avatar/1db0cdfd3fe268e270ec481a73046c2f?s=256&d=identicon&r=PG,Guffa,989,712,106
31,37175,False,1659024603,1658822253,18386,2111,2111,438,0,669272,1242214829,registered,106224,96.0,Singapore,https://NOVALISTIC.com,https://stackoverflow.com/users/106224/boltclock,https://www.gravatar.com/avatar/a2d818d801ce38a33807f68fdd92043a?s=256&d=identicon&r=PG,BoltClock,1330,1351,155
32,277416,False,1656324000,1598086966,12648,1536,1536,286,-2,660569,1294757277,registered,571407,100.0,"Saint-Etienne, France",,https://stackoverflow.com/users/571407/jb-nizet,https://www.gravatar.com/avatar/2f0d9dec16bae1e06552af55ddefc11f?s=256&d=identicon&r=PG,JB Nizet,1229,1186,87
33,432092,False,1658010901,1659036803,30400,3363,3363,474,10,644375,1309132740,registered,816620,64.0,,,https://stackoverflow.com/users/816620/jfriend00,https://i.stack.imgur.com/Xu7hp.jpg?s=256&g=1,jfriend00,917,908,88
34,32093,False,1658941501,1658958772,9590,1194,1194,228,0,633215,1239204526,registered,88656,,"Seattle, WA",http://ericlippert.com,https://stackoverflow.com/users/88656/eric-lippert,https://www.gravatar.com/avatar/6fbdff3ffb6f111d172759b4f05bea0e?s=256&d=identicon&r=PG,Eric Lippert,2053,1217,172
35,21746,False,1658226302,1508083293,12991,1608,1608,340,0,623848,1231452721,registered,53114,45.0,"Ulm, Germany",https://www.linkedin.com/in/markuswulftange,https://stackoverflow.com/users/53114/gumbo,https://www.gravatar.com/avatar/cd501083459cbc21fccae78e2d03bee2?s=256&d=identicon&r=PG,Gumbo,832,761,105
